Algoritm,Seed,Max Iter,Population,BitFlip Prob,Energy,Time (s)
EA,0,50000,20,0.0005,12629.0,4.876
EA,0,50000,20,0.001,12807.0,4.391
EA,0,50000,20,0.002,12825.0,4.346
EA,0,50000,20,0.005,12559.0,4.439
EA,0,50000,20,0.01,11093.0,4.844
EA,0,50000,50,0.0005,12660.0,4.456
EA,0,50000,50,0.001,12849.0,4.459
EA,0,50000,50,0.002,12750.0,4.863
EA,0,50000,50,0.005,12283.0,4.449
EA,0,50000,50,0.01,11424.0,4.333
EA,0,50000,100,0.0005,12806.0,4.399
EA,0,50000,100,0.001,12862.0,4.486
EA,0,50000,100,0.002,12682.0,4.274
EA,0,50000,100,0.005,12203.0,4.372
EA,0,50000,100,0.01,11221.0,4.325
EA,0,50000,200,0.0005,12689.0,4.746
EA,0,50000,200,0.001,12790.0,4.981
EA,0,50000,200,0.002,12363.0,4.464
EA,0,50000,200,0.005,11782.0,4.528
EA,0,50000,200,0.01,10824.0,4.506
EA,0,50000,500,0.0005,11940.0,4.741
EA,0,50000,500,0.001,11849.0,5.074
EA,0,50000,500,0.002,11710.0,5.677
EA,0,50000,500,0.005,11064.0,4.684
EA,0,50000,500,0.01,9968.0,5.189
EA,0,50000,1000,0.0005,11001.0,5.623
EA,0,50000,1000,0.001,10792.0,5.059
EA,0,50000,1000,0.002,10954.0,5.409
EA,0,50000,1000,0.005,10328.0,6.027
EA,0,50000,1000,0.01,9070.0,5.540
EA,0,75000,20,0.0005,12629.0,4.719
EA,0,75000,20,0.001,12807.0,4.456
EA,0,75000,20,0.002,12825.0,4.887
EA,0,75000,20,0.005,12559.0,4.458
EA,0,75000,20,0.01,11093.0,4.520
EA,0,75000,50,0.0005,12660.0,4.415
EA,0,75000,50,0.001,12849.0,4.515
EA,0,75000,50,0.002,12750.0,4.449
EA,0,75000,50,0.005,12283.0,4.497
EA,0,75000,50,0.01,11424.0,4.121
EA,0,75000,100,0.0005,12806.0,4.851
EA,0,75000,100,0.001,12862.0,4.354
EA,0,75000,100,0.002,12682.0,4.807
EA,0,75000,100,0.005,12203.0,4.337
EA,0,75000,100,0.01,11221.0,4.471
EA,0,75000,200,0.0005,12689.0,4.535
EA,0,75000,200,0.001,12790.0,4.939
EA,0,75000,200,0.002,12363.0,5.141
EA,0,75000,200,0.005,11782.0,4.836
EA,0,75000,200,0.01,10824.0,4.515
EA,0,75000,500,0.0005,11940.0,4.708
EA,0,75000,500,0.001,11849.0,4.715
EA,0,75000,500,0.002,11710.0,4.669
EA,0,75000,500,0.005,11064.0,4.676
EA,0,75000,500,0.01,9968.0,4.586
EA,0,75000,1000,0.0005,11001.0,4.860
EA,0,75000,1000,0.001,10792.0,5.942
